"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"10000","0","10","50","0","2017","A","",31962,441873,24668830510,6333146913,94000276,1074,55828,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",247,0.8,3635,0.8,1107039851,4.7,134532222,2.2,-10776467,-10.3,40,3.9,2063,3.8
"10000","1","10","51","0","2017","A","",192,5727,410242324,0,0,1378,71638,"",0.99,0.67,0.59,0.00,0.00,0.88,0.88,"",2,1.1,83,1.5,24113918,6.2,0,0.0,0,0.0,62,4.7,3218,4.7
"10000","1","102","52","0","2017","A","",192,5727,410242324,0,0,1378,71638,"",0.99,0.68,0.60,0.00,0.00,0.88,0.88,"",2,1.1,83,1.5,24113918,6.2,0,0.0,0,0.0,62,4.7,3218,4.7
"10000","1","1021","53","0","2017","A","",68,2049,122176719,0,0,1147,59620,"",0.70,0.97,0.96,0.00,0.00,0.99,0.99,"",0,0.0,38,1.9,6225233,5.4,0,0.0,0,0.0,38,3.4,1969,3.4
"10000","1","1023","53","0","2017","A","",6,63,6101170,0,0,1872,97359,"",2.30,1.59,1.35,0.00,0.00,0.85,0.85,"",1,20.0,3,5.0,275433,4.7,0,0.0,0,0.0,7,0.4,398,0.4
"10000","1","1024","53","0","2017","A","",6,23,1821143,0,0,1501,78049,"",1.26,0.11,0.10,0.00,0.00,0.87,0.87,"",0,0.0,-3,-11.5,-194345,-9.6,0,0.0,0,0.0,24,1.6,1269,1.7
"10000","1","1025","53","0","2017","A","",6,1154,97363412,0,0,1623,84370,"",1.34,0.92,0.97,0.00,0.00,1.06,1.06,"",0,0.0,78,7.2,11633546,13.6,0,0.0,0,0.0,91,5.9,4726,5.9
"10000","1","1026","53","0","2017","A","",7,87,1874489,0,0,413,21484,"",1.39,0.58,0.26,0.00,0.00,0.45,0.45,"",0,0.0,-5,-5.4,218887,13.2,0,0.0,0,0.0,68,19.7,3521,19.6
"10000","1","1028","53","0","2017","A","",99,2350,180905391,0,0,1480,76978,"",1.26,0.50,0.42,0.00,0.00,0.84,0.84,"",1,1.0,-27,-1.1,5955164,3.4,0,0.0,0,0.0,65,4.6,3387,4.6
"10000","1","44-45","54","0","2017","A","",5,6,119239,0,0,372,19336,"",2.29,0.04,0.03,0.00,0.00,0.57,0.57,"",0,0.0,0,0.0,-7280,-5.8,0,0.0,0,0.0,-34,-8.4,-1751,-8.3
"10000","1","441","55","0","2017","A","",1,1,23798,0,0,458,23798,"",7.51,2.67,2.60,0.00,0.00,0.97,0.97,"",0,0.0,-1,-50.0,-8090,-25.4,0,0.0,0,0.0,151,49.2,7854,49.3
"10000","1","4413","56","0","2017","A","",1,1,23798,0,0,458,23798,"",7.51,2.67,2.60,0.00,0.00,0.97,0.97,"",0,0.0,-1,-50.0,-8090,-25.4,0,0.0,0,0.0,151,49.2,7854,49.3
"10000","1","44131","57","0","2017","A","",1,1,23798,0,0,458,23798,"",7.51,2.67,2.60,0.00,0.00,0.97,0.97,"",0,0.0,-1,-50.0,-8090,-25.4,0,0.0,0,0.0,151,49.2,7854,49.3
"10000","1","441310","58","0","2017","A","",1,1,23798,0,0,458,23798,"",7.51,2.67,2.60,0.00,0.00,0.97,0.97,"",0,0.0,-1,-50.0,-8090,-25.4,0,0.0,0,0.0,151,49.2,7854,49.3
"10000","1","442","55","0","2017","A","",3,4,85510,0,0,439,22803,"",16.78,5.69,5.21,0.00,0.00,0.98,0.98,"",0,0.0,0,0.0,-2493,-2.8,0,0.0,0,0.0,-45,-9.3,-2341,-9.3
"10000","1","4422","56","0","2017","A","",3,4,85510,0,0,439,22803,"",17.10,6.71,5.92,0.00,0.00,0.94,0.94,"",0,0.0,0,0.0,-2493,-2.8,0,0.0,0,0.0,-45,-9.3,-2341,-9.3
"10000","1","44229","57","0","2017","A","",3,4,85510,0,0,439,22803,"",17.10,6.71,5.92,0.00,0.00,0.94,0.94,"",0,0.0,0,0.0,-2493,-2.8,0,0.0,0,0.0,-45,-9.3,-2341,-9.3
"10000","1","442299","58","0","2017","A","",3,4,85510,0,0,439,22803,"",17.10,6.71,5.92,0.00,0.00,0.94,0.94,"",0,0.0,0,0.0,-2493,-2.8,0,0.0,0,0.0,-45,-9.3,-2341,-9.3
"10000","1","451","55","0","2017","A","",1,1,9931,0,0,135,7010,"",8.10,3.88,1.96,0.00,0.00,0.36,0.36,"",0,0.0,0,0.0,3303,49.8,0,0.0,0,0.0,-120,-47.1,-6246,-47.1
"10000","1","4511","56","0","2017","A","",1,1,9931,0,0,135,7010,"",8.32,3.97,2.22,0.00,0.00,0.39,0.39,"",0,0.0,0,0.0,3303,49.8,0,0.0,0,0.0,-120,-47.1,-6246,-47.1
"10000","1","45111","57","0","2017","A","",1,1,9931,0,0,135,7010,"",8.79,4.12,2.28,0.00,0.00,0.39,0.39,"",0,0.0,0,0.0,3303,49.8,0,0.0,0,0.0,-120,-47.1,-6246,-47.1
"10000","1","451110","58","0","2017","A","",1,1,9931,0,0,135,7010,"",8.79,4.12,2.28,0.00,0.00,0.39,0.39,"",0,0.0,0,0.0,3303,49.8,0,0.0,0,0.0,-120,-47.1,-6246,-47.1
"10000","1","48-49","54","0","2017","A","",63,2043,122057480,0,0,1149,59742,"",0.66,1.06,1.04,0.00,0.00,0.98,0.98,"",0,0.0,38,1.9,6232513,5.4,0,0.0,0,0.0,38,3.4,1981,3.4
"10000","1","488","55","0","2017","A","",2,23,2362380,0,0,1961,101973,"",3.69,0.65,0.49,0.00,0.00,0.75,0.75,"",0,0.0,2,9.5,138586,6.2,0,0.0,0,0.0,-84,-4.1,-4344,-4.1
"10000","1","4881","56","0","2017","A","",2,23,2362380,0,0,1961,101973,"",3.69,0.65,0.49,0.00,0.00,0.75,0.75,"",0,0.0,2,9.5,138586,6.2,0,0.0,0,0.0,-84,-4.1,-4344,-4.1
"10000","1","48811","57","0","2017","A","",2,23,2362380,0,0,1961,101973,"",3.69,0.65,0.49,0.00,0.00,0.75,0.75,"",0,0.0,2,9.5,138586,6.2,0,0.0,0,0.0,-84,-4.1,-4344,-4.1
"10000","1","488111","58","0","2017","A","",2,23,2362380,0,0,1961,101973,"",3.71,0.65,0.49,0.00,0.00,0.75,0.75,"",0,0.0,2,9.5,138586,6.2,0,0.0,0,0.0,-84,-4.1,-4344,-4.1
"10000","1","491","55","0","2017","A","",61,2020,119695100,0,0,1140,59257,"",0.65,1.07,1.06,0.00,0.00,0.99,0.99,"",0,0.0,36,1.8,6093927,5.4,0,0.0,0,0.0,39,3.5,2008,3.5
"10000","1","4911","56","0","2017","A","",61,2020,119695100,0,0,1140,59257,"",0.65,1.07,1.06,0.00,0.00,0.99,0.99,"",0,0.0,36,1.8,6093927,5.4,0,0.0,0,0.0,39,3.5,2008,3.5
"10000","1","49111","57","0","2017","A","",61,2020,119695100,0,0,1140,59257,"",0.65,1.07,1.06,0.00,0.00,0.99,0.99,"",0,0.0,36,1.8,6093927,5.4,0,0.0,0,0.0,39,3.5,2008,3.5
"10000","1","491110","58","0","2017","A","",61,2020,119695100,0,0,1140,59257,"",0.65,1.07,1.06,0.00,0.00,0.99,0.99,"",0,0.0,36,1.8,6093927,5.4,0,0.0,0,0.0,39,3.5,2008,3.5
"10000","1","52","54","0","2017","A","",6,63,6101170,0,0,1872,97359,"",2.33,1.59,1.35,0.00,0.00,0.85,0.85,"",1,20.0,3,5.0,275433,4.7,0,0.0,0,0.0,7,0.4,398,0.4
"10000","1","522","55","0","2017","A","",4,39,3332745,0,0,1647,85638,"",1.88,2.08,2.02,0.00,0.00,0.97,0.97,"",1,33.3,-1,-2.5,-88639,-2.6,0,0.0,0,0.0,-19,-1.1,-979,-1.1
"10000","1","5222","56","0","2017","A","",4,39,3332745,0,0,1647,85638,"",1.89,2.08,2.02,0.00,0.00,0.97,0.97,"",1,33.3,-1,-2.5,-88639,-2.6,0,0.0,0,0.0,-19,-1.1,-979,-1.1
"10000","1","52229","57","0","2017","A","",4,39,3332745,0,0,1647,85638,"",1.89,2.08,2.02,0.00,0.00,0.97,0.97,"",1,33.3,-1,-2.5,-88639,-2.6,0,0.0,0,0.0,-19,-1.1,-979,-1.1
"10000","1","522292","58","0","2017","A","",2,35,2789031,0,0,1536,79877,"",2.14,3.93,4.42,0.00,0.00,1.13,1.13,"",1,100.0,-1,-2.8,-95853,-3.3,0,0.0,0,0.0,-27,-1.7,-1387,-1.7
"10000","1","522298","58","0","2017","A","",2,4,543714,0,0,2614,135929,"",2.03,0.56,0.70,0.00,0.00,1.26,1.26,"",0,0.0,0,0.0,7214,1.3,0,0.0,0,0.0,35,1.4,1804,1.3
"10000","1","524","55","0","2017","A","",2,24,2768425,0,0,2242,116565,"",4.66,1.17,0.97,0.00,0.00,0.83,0.83,"",0,0.0,3,14.3,364072,15.1,0,0.0,0,0.0,-4,-0.2,-246,-0.2
"10000","1","5241","56","0","2017","A","",2,24,2768425,0,0,2242,116565,"",5.81,1.24,1.00,0.00,0.00,0.82,0.82,"",0,0.0,3,14.3,364072,15.1,0,0.0,0,0.0,-4,-0.2,-246,-0.2
"10000","1","52412","57","0","2017","A","",2,24,2768425,0,0,2242,116565,"",5.81,1.24,1.00,0.00,0.00,0.82,0.82,"",0,0.0,3,14.3,364072,15.1,0,0.0,0,0.0,-4,-0.2,-246,-0.2
"10000","1","524128","58","0","2017","A","",2,24,2768425,0,0,2242,116565,"",5.97,1.24,1.01,0.00,0.00,0.82,0.82,"",0,0.0,3,14.3,364072,15.1,0,0.0,0,0.0,-4,-0.2,-246,-0.2
"10000","1","54","54","0","2017","A","",4,20,1787100,0,0,1740,90486,"",0.94,0.10,0.10,0.00,0.00,1.00,1.00,"",0,0.0,-2,-9.1,-194624,-9.8,0,0.0,0,0.0,14,0.8,748,0.8
"10000","1","541","55","0","2017","A","",4,20,1787100,0,0,1740,90486,"",0.94,0.10,0.10,0.00,0.00,1.00,1.00,"",0,0.0,-2,-9.1,-194624,-9.8,0,0.0,0,0.0,14,0.8,748,0.8
"10000","1","5413","56","0","2017","A","",2,15,1450874,0,0,1860,96725,"",0.77,0.10,0.11,0.00,0.00,1.11,1.11,"",0,0.0,-2,-11.8,-231697,-13.8,0,0.0,0,0.0,-25,-1.3,-1289,-1.3
"10000","1","54133","57","0","2017","A","",2,15,1450874,0,0,1860,96725,"",0.77,0.11,0.12,0.00,0.00,1.10,1.10,"",0,0.0,-2,-11.8,-231697,-13.8,0,0.0,0,0.0,-25,-1.3,-1289,-1.3
"10000","1","541330","58","0","2017","A","",2,15,1450874,0,0,1860,96725,"",0.77,0.11,0.12,0.00,0.00,1.10,1.10,"",0,0.0,-2,-11.8,-231697,-13.8,0,0.0,0,0.0,-25,-1.3,-1289,-1.3
"10000","1","5415","56","0","2017","A","",1,1,46128,0,0,887,46128,"",4.88,2.00,1.47,0.00,0.00,0.73,0.74,"",0,0.0,0,0.0,9418,25.7,0,0.0,0,0.0,181,25.6,9418,25.7
"10000","1","54151","57","0","2017","A","",1,1,46128,0,0,887,46128,"",4.88,2.00,1.47,0.00,0.00,0.73,0.74,"",0,0.0,0,0.0,9418,25.7,0,0.0,0,0.0,181,25.6,9418,25.7
"10000","1","541511","58","0","2017","A","",1,1,46128,0,0,887,46128,"",15.39,9.04,11.06,0.00,0.00,1.22,1.22,"",0,0.0,0,0.0,9418,25.7,0,0.0,0,0.0,181,25.6,9418,25.7
"10000","1","5419","56","0","2017","A","",1,4,290098,0,0,1488,77359,"",1.78,0.27,0.20,0.00,0.00,0.78,0.78,"",0,0.0,0,0.0,27655,10.5,0,0.0,0,0.0,199,15.4,10352,15.4
"10000","1","54199","57","0","2017","A","",1,4,290098,0,0,1488,77359,"",1.80,0.30,0.20,0.00,0.00,0.73,0.73,"",0,0.0,0,0.0,27655,10.5,0,0.0,0,0.0,199,15.4,10352,15.4
"10000","1","541990","58","0","2017","A","",1,4,290098,0,0,1488,77359,"",1.80,0.30,0.20,0.00,0.00,0.73,0.73,"",0,0.0,0,0.0,27655,10.5,0,0.0,0,0.0,199,15.4,10352,15.4
"10000","1","56","54","0","2017","A","",2,4,34043,0,0,183,9500,"",4.13,0.70,0.15,0.00,0.00,0.24,0.24,"",0,0.0,0,0.0,279,0.8,0,0.0,0,0.0,27,17.3,1397,17.2
"10000","1","561","55","0","2017","A","",2,4,34043,0,0,183,9500,"",4.92,0.77,0.16,0.00,0.00,0.24,0.24,"",0,0.0,0,0.0,279,0.8,0,0.0,0,0.0,27,17.3,1397,17.2
"10000","1","5615","56","0","2017","A","",2,4,34043,0,0,183,9500,"",6.09,2.39,0.76,0.00,0.00,0.36,0.36,"",0,0.0,0,0.0,279,0.8,0,0.0,0,0.0,27,17.3,1397,17.2
"10000","1","56151","57","0","2017","A","",1,2,16136,0,0,196,10191,"",51.29,65.11,37.77,0.00,0.00,0.72,0.72,"",0,0.0,0,0.0,-559,-3.3,0,0.0,0,0.0,63,47.4,3283,47.5
"10000","1","561510","58","0","2017","A","",1,2,16136,0,0,196,10191,"",51.29,65.11,37.77,0.00,0.00,0.72,0.72,"",0,0.0,0,0.0,-559,-3.3,0,0.0,0,0.0,63,47.4,3283,47.5
"10000","1","56152","57","0","2017","A","",1,2,17907,0,0,172,8954,"",7.16,7.23,2.89,0.00,0.00,0.40,0.40,"",0,0.0,0,0.0,838,4.9,0,0.0,0,0.0,-16,-8.5,-800,-8.2
"10000","1","561520","58","0","2017","A","",1,2,17907,0,0,172,8954,"",7.16,7.23,2.89,0.00,0.00,0.40,0.40,"",0,0.0,0,0.0,838,4.9,0,0.0,0,0.0,-16,-8.5,-800,-8.2
"10000","1","61","54","0","2017","A","",1,1,7082,0,0,96,4999,"",2.05,0.03,0.00,0.00,0.00,0.06,0.06,"",0,0.0,0,0.0,1215,20.7,0,0.0,0,0.0,-27,-22.0,-1401,-21.9
"10000","1","611","55","0","2017","A","",1,1,7082,0,0,96,4999,"",2.05,0.03,0.00,0.00,0.00,0.06,0.06,"",0,0.0,0,0.0,1215,20.7,0,0.0,0,0.0,-27,-22.0,-1401,-21.9
"10000","1","6116","56","0","2017","A","",1,1,7082,0,0,96,4999,"",4.59,0.61,0.09,0.00,0.00,0.11,0.11,"",0,0.0,0,0.0,1215,20.7,0,0.0,0,0.0,-27,-22.0,-1401,-21.9
"10000","1","61161","57","0","2017","A","",1,1,7082,0,0,96,4999,"",21.98,11.23,5.03,0.00,0.00,0.31,0.31,"",0,0.0,0,0.0,1215,20.7,0,0.0,0,0.0,-27,-22.0,-1401,-21.9
"10000","1","611610","58","0","2017","A","",1,1,7082,0,0,96,4999,"",21.98,11.23,5.03,0.00,0.00,0.31,0.31,"",0,0.0,0,0.0,1215,20.7,0,0.0,0,0.0,-27,-22.0,-1401,-21.9
"10000","1","62","54","0","2017","A","",5,1153,97356330,0,0,1624,84468,"",1.26,0.94,1.00,0.00,0.00,1.06,1.06,"",0,0.0,77,7.2,11632331,13.6,0,0.0,0,0.0,91,5.9,4762,6.0
"10000","1","621","55","0","2017","A","",1,24,2519446,0,0,2062,107210,"",0.61,0.21,0.27,0.00,0.00,1.31,1.31,"",0,0.0,7,41.2,796443,46.2,0,0.0,0,0.0,132,6.8,6841,6.8
"10000","1","6211","56","0","2017","A","",1,24,2519446,0,0,2062,107210,"",0.85,0.33,0.42,0.00,0.00,1.28,1.28,"",0,0.0,7,41.2,796443,46.2,0,0.0,0,0.0,132,6.8,6841,6.8
"10000","1","62111","57","0","2017","A","",1,24,2519446,0,0,2062,107210,"",0.85,0.33,0.42,0.00,0.00,1.28,1.28,"",0,0.0,7,41.2,796443,46.2,0,0.0,0,0.0,132,6.8,6841,6.8
