"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"37000","0","10","50","0","2017","A","",273334,4330606,211852325721,73035101030,768724306,941,48920,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4437,1.7,71330,1.7,10520005721,5.2,3596265041,5.2,-395783994,-34.0,32,3.5,1651,3.5
"37001","0","10","70","0","2017","A","",3439,60226,2412024394,1046973625,9556629,770,40050,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",78,2.3,602,1.0,105769001,4.6,56542577,5.7,-5662253,-37.2,26,3.5,1370,3.5
"37003","0","10","70","0","2017","A","",567,9129,306498956,144456045,1534795,646,33575,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.2,244,2.7,18372194,6.4,11589599,8.7,-743093,-32.6,22,3.5,1146,3.5
"37005","0","10","70","0","2017","A","",298,3205,96719938,45807638,589534,580,30175,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-1.0,-78,-2.4,1930272,2.0,1503372,3.4,-263495,-30.9,25,4.5,1300,4.5
"37007","0","10","70","0","2017","A","",463,7081,239551090,100780925,882220,651,33830,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10,2.2,-209,-2.9,-773801,-0.3,3074994,3.1,-592523,-40.2,17,2.7,864,2.6
"37009","0","10","70","0","2017","A","",633,7165,246218058,106527837,1503718,661,34363,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",19,3.1,130,1.8,15124258,6.5,5463296,5.4,-494830,-24.8,29,4.6,1515,4.6
"37011","0","10","70","0","2017","A","",595,6872,215330100,103008749,1485156,603,31336,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-0.5,105,1.6,9459732,4.6,6842889,7.1,-496539,-25.1,18,3.1,914,3.0
"37013","0","10","70","0","2017","A","",1201,15909,592608776,255841279,2284450,716,37249,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",23,2.0,-293,-1.8,6008637,1.0,5085915,2.0,-1431470,-38.5,20,2.9,1043,2.9
"37015","0","10","70","0","2017","A","",319,5886,189200655,87328442,606778,618,32146,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-7,-2.1,-324,-5.2,-2660187,-1.4,-2919150,-3.2,-595601,-49.5,24,4.0,1252,4.1
"37017","0","10","70","0","2017","A","",617,12948,460126177,224221514,1927431,683,35537,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,0.5,-11,-0.1,14376703,3.2,8694434,4.0,-1165754,-37.7,22,3.3,1140,3.3
