"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"37000","5","5112","56","0","2017","A","",1277,15713,1824957455,401498285,2998712,2234,116146,"",1.95,1.38,1.15,1.09,1.00,0.83,0.83,"",204,19.0,887,6.0,138898107,8.2,38485482,10.6,-1694305,-36.1,47,2.1,2419,2.1
"37001","5","5112","76","0","2017","A","",6,4,285602,102336,1347,1569,81601,"",0.73,0.03,0.02,0.02,0.04,0.72,0.72,"",0,0.0,1,33.3,49659,21.0,-11449,-10.1,160,13.5,-133,-7.8,-6878,-7.8
"37009","5","5112","76","0","2017","A","N",1,0,0,0,0,0,0,"N",0.66,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"37013","5","5112","76","0","2017","A","N",2,0,0,0,0,0,0,"N",0.70,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"37019","5","5112","76","0","2017","A","N",7,0,0,0,0,0,0,"N",1.04,0,0,0,0,0,0,"N",1,16.7,0,0,0,0,0,0,0,0,0,0,0,0
"37021","5","5112","76","0","2017","A","",36,127,10217768,3576005,49681,1553,80773,"",1.64,0.37,0.25,0.34,0.69,0.68,0.68,"",1,2.9,14,12.4,369132,3.7,596211,20.0,-9615,-16.2,-121,-7.2,-6255,-7.2
"37023","5","5112","76","0","2017","A","N",2,0,0,0,0,0,0,"N",0.57,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"37025","5","5112","76","0","2017","A","",18,35,3950540,1036671,11973,2155,112072,"",1.58,0.18,0.17,0.17,0.25,0.94,0.94,"",1,5.9,7,25.0,1074582,37.4,243427,30.7,-1830,-13.3,174,8.8,9053,8.8
"37027","5","5112","76","0","2017","A","N",4,0,0,0,0,0,0,"N",1.22,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0
"37031","5","5112","76","0","2017","A","N",4,0,0,0,0,0,0,"N",0.76,0,0,0,0,0,0,"N",-1,-20.0,0,0,0,0,0,0,0,0,0,0,0,0
"37035","5","5112","76","0","2017","A","N",7,0,0,0,0,0,0,"N",0.67,0,0,0,0,0,0,"N",-1,-12.5,0,0,0,0,0,0,0,0,0,0,0,0
"37037","5","5112","76","0","2017","A","N",5,0,0,0,0,0,0,"N",1.42,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"37049","5","5112","76","0","2017","A","N",2,0,0,0,0,0,0,"N",0.36,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"37051","5","5112","76","0","2017","A","N",3,0,0,0,0,0,0,"N",0.20,0,0,0,0,0,0,"N",-2,-40.0,0,0,0,0,0,0,0,0,0,0,0,0
"37053","5","5112","76","0","2017","A","N",2,0,0,0,0,0,0,"N",1.17,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"37055","5","5112","76","0","2017","A","N",4,0,0,0,0,0,0,"N",0.87,0,0,0,0,0,0,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"37057","5","5112","76","0","2017","A","N",0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0
"37059","5","5112","76","0","2017","A","N",3,0,0,0,0,0,0,"N",1.40,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0
"37061","5","5112","76","0","2017","A","N",1,0,0,0,0,0,0,"N",0.39,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"37063","5","5112","76","0","2017","A","",81,1238,113644917,34126378,310068,1766,91816,"",4.06,2.37,1.14,2.15,2.72,0.48,0.48,"",5,6.6,-292,-19.1,-52327298,-31.5,-5940583,-14.8,-251095,-44.7,-321,-15.4,-16698,-15.4
